Sample_ID,Site,Sample_type,Size_class,PFBA,PFPeA,PFBS,PFHxA,4:2FTS,PFPeS,GenX,ADONA,PFHpA,PFHxS,PFOA,PFHpS,6:2FTS,9Cl-PF3ONS,PFNA,PFOS,PFNS,8:2FTS,PFDA,NMeFOSAA,PFOSA,PFDS,NEtFOSAA,11-ClPF3OUdS,PFUnA,PFDoA,PFTrDA,PFTA
RB_BF1_end,Russell Brook,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.86,0,0,0,0,0,0,0,0,5.43,0,0,0
RB_BF2_end,Russell Brook,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,13.99,0,0,0,0,0,0,0,0,6.84,0,0,0
RB_BF3_end,Russell Brook,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.91,17.11,0,9.31,0,0,0,0,0,0,11.56,0,0,0
HB_BF1_end,Hop Brook,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0
HB_BF2_end,Hop Brook,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB_BF3_end,Hop Brook,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB_Det_6-02,Russell Brook,Detritus,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,4.97,0,0,0,0,0,0,0,0,0,0,0,0
HB_Det_6-03,Hop Brook,Detritus,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB_Det_end,Russell Brook,Detritus,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0
HB_Det_end,Hop Brook,Detritus,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB_Ses_6-02,Russell Brook,Seston,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0
HB_Ses_6-03,Hop Brook,Seston,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB_Ses_end,Russell Brook,Seston,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.68,9.52,0,0,0,0,0,0,0,0,0,0,0,0
Rat_BF1_A23,Ratlum Brook,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0
Rat_BF2_A23,Ratlum Brook,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0
Rat_BF3_A23,Ratlum Brook,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peq_BF1_A23,Pequabuck River,Biofilm,NA,0,0,0,0,0,0,0,0,0,0,2.89,0,0,0,0,2.51,0,0,0,0,0,0,0,0,2.51,0,0,0
